inputX outputFx trueFx diffFx
5.469 -0.120 -0.133 0.013
5.479 -0.118 -0.132 0.013
5.488 -0.117 -0.130 0.013
5.498 -0.115 -0.129 0.013
5.508 -0.114 -0.127 0.013
5.518 -0.112 -0.126 0.013
5.527 -0.111 -0.124 0.013
5.537 -0.109 -0.123 0.013
5.547 -0.108 -0.121 0.013
5.557 -0.107 -0.120 0.013
5.566 -0.105 -0.118 0.013
5.576 -0.104 -0.116 0.013
5.586 -0.102 -0.115 0.013
5.596 -0.101 -0.113 0.013
5.605 -0.099 -0.112 0.013
5.615 -0.098 -0.110 0.013
5.625 -0.096 -0.109 0.012
5.635 -0.095 -0.107 0.012
5.645 -0.093 -0.106 0.012
5.654 -0.092 -0.104 0.012
5.664 -0.090 -0.102 0.012
5.674 -0.089 -0.101 0.012
5.684 -0.087 -0.099 0.012
5.693 -0.086 -0.098 0.012
5.703 -0.085 -0.096 0.012
5.713 -0.083 -0.095 0.011
5.723 -0.082 -0.093 0.011
5.732 -0.080 -0.091 0.011
5.742 -0.079 -0.090 0.011
5.752 -0.077 -0.088 0.011
5.762 -0.076 -0.086 0.011
5.771 -0.074 -0.085 0.011
5.781 -0.073 -0.083 0.010
5.791 -0.071 -0.082 0.010
5.801 -0.070 -0.080 0.010
5.811 -0.068 -0.078 0.010
5.820 -0.067 -0.077 0.010
5.830 -0.065 -0.075 0.010
5.840 -0.064 -0.073 0.009
5.850 -0.063 -0.072 0.009
5.859 -0.061 -0.070 0.009
5.869 -0.060 -0.069 0.009
5.879 -0.058 -0.067 0.009
5.889 -0.057 -0.065 0.009
5.898 -0.055 -0.064 0.008
5.908 -0.054 -0.062 0.008
5.918 -0.052 -0.060 0.008
5.928 -0.051 -0.059 0.008
5.938 -0.049 -0.057 0.008
5.947 -0.048 -0.055 0.008
5.957 -0.046 -0.054 0.007
5.967 -0.045 -0.052 0.007
5.977 -0.044 -0.051 0.007
5.986 -0.042 -0.049 0.007
5.996 -0.041 -0.047 0.007
6.006 -0.039 -0.046 0.006
6.016 -0.038 -0.044 0.006
6.025 -0.037 -0.042 0.006
6.035 -0.035 -0.041 0.005
6.045 -0.034 -0.039 0.005
6.055 -0.033 -0.037 0.005
6.064 -0.032 -0.036 0.004
6.074 -0.030 -0.034 0.004
6.084 -0.029 -0.033 0.003
6.094 -0.028 -0.031 0.003
6.104 -0.027 -0.029 0.003
6.113 -0.025 -0.028 0.002
6.123 -0.024 -0.026 0.002
6.133 -0.023 -0.024 0.002
6.143 -0.021 -0.023 0.001
6.152 -0.020 -0.021 0.001
6.162 -0.019 -0.020 0.001
6.172 -0.018 -0.018 0.000
6.182 -0.016 -0.016 0.000
6.191 -0.015 -0.015 0.000
6.201 -0.014 -0.013 0.001
6.211 -0.013 -0.012 0.001
6.221 -0.011 -0.010 0.001
6.230 -0.010 -0.008 0.002
6.240 -0.009 -0.007 0.002
6.250 -0.007 -0.005 0.002
6.260 -0.006 -0.004 0.002
6.270 -0.005 -0.002 0.003
6.279 -0.004 -0.001 0.003
6.289 -0.002 0.001 0.003
6.299 -0.001 0.002 0.004
6.309 0.000 0.004 0.004
6.318 0.001 0.006 0.004
6.328 0.003 0.007 0.004
6.338 0.004 0.009 0.005
6.348 0.005 0.010 0.005
6.357 0.006 0.012 0.005
6.367 0.008 0.013 0.005
6.377 0.009 0.015 0.006
6.387 0.010 0.016 0.006
6.396 0.012 0.018 0.006
6.406 0.013 0.019 0.006
6.416 0.014 0.021 0.007
6.426 0.015 0.022 0.007
6.436 0.017 0.024 0.007
6.445 0.018 0.025 0.007
6.455 0.019 0.026 0.007
6.465 0.020 0.028 0.008
6.475 0.022 0.029 0.008
6.484 0.023 0.031 0.008
6.494 0.024 0.032 0.008
6.504 0.026 0.034 0.008
6.514 0.027 0.035 0.008
6.523 0.028 0.036 0.008
6.533 0.029 0.038 0.009
6.543 0.031 0.039 0.009
6.553 0.032 0.041 0.009
6.562 0.033 0.042 0.009
6.572 0.034 0.043 0.009
6.582 0.036 0.045 0.009
6.592 0.037 0.046 0.009
6.602 0.038 0.047 0.009
6.611 0.039 0.049 0.009
6.621 0.041 0.050 0.009
6.631 0.042 0.051 0.009
6.641 0.043 0.053 0.009
6.650 0.045 0.054 0.009
6.660 0.046 0.055 0.009
6.670 0.047 0.057 0.009
6.680 0.048 0.058 0.009
6.689 0.050 0.059 0.009
6.699 0.051 0.060 0.009
6.709 0.052 0.062 0.009
6.719 0.053 0.063 0.009
6.729 0.055 0.064 0.009
6.738 0.056 0.065 0.009
6.748 0.057 0.066 0.009
6.758 0.059 0.068 0.009
6.768 0.060 0.069 0.009
6.777 0.061 0.070 0.009
6.787 0.062 0.071 0.009
6.797 0.064 0.072 0.009
6.807 0.065 0.073 0.009
6.816 0.066 0.075 0.008
6.826 0.067 0.076 0.008
6.836 0.069 0.077 0.008
6.846 0.070 0.078 0.008
6.855 0.071 0.079 0.008
6.865 0.072 0.080 0.008
6.875 0.074 0.081 0.007
6.885 0.075 0.082 0.007
6.895 0.076 0.083 0.007
6.904 0.078 0.084 0.007
6.914 0.079 0.085 0.006
6.924 0.080 0.086 0.006
6.934 0.081 0.087 0.006
6.943 0.083 0.088 0.006
6.953 0.084 0.089 0.005
6.963 0.085 0.090 0.005
6.973 0.086 0.091 0.005
6.982 0.088 0.092 0.004
6.992 0.089 0.093 0.004
7.002 0.090 0.094 0.004
7.012 0.090 0.095 0.005
7.021 0.091 0.096 0.005
7.031 0.091 0.097 0.006
7.041 0.091 0.098 0.006
7.051 0.092 0.098 0.007
7.061 0.092 0.099 0.008
7.070 0.092 0.100 0.008
7.080 0.092 0.101 0.009
7.090 0.093 0.102 0.009
7.100 0.093 0.103 0.010
7.109 0.093 0.103 0.010
7.119 0.094 0.104 0.011
7.129 0.094 0.105 0.011
7.139 0.094 0.106 0.012
7.148 0.094 0.106 0.012
7.158 0.095 0.107 0.012
7.168 0.095 0.108 0.013
7.178 0.095 0.109 0.013
7.188 0.096 0.109 0.014
7.197 0.096 0.110 0.014
7.207 0.096 0.111 0.015
7.217 0.097 0.111 0.015
7.227 0.097 0.112 0.015
7.236 0.097 0.113 0.016
7.246 0.097 0.113 0.016
7.256 0.098 0.114 0.016
7.266 0.098 0.114 0.017
7.275 0.098 0.115 0.017
7.285 0.099 0.116 0.017
7.295 0.099 0.116 0.017
7.305 0.099 0.117 0.018
7.314 0.099 0.117 0.018
7.324 0.100 0.118 0.018
7.334 0.100 0.118 0.018
7.344 0.100 0.119 0.019
7.354 0.101 0.119 0.019
7.363 0.101 0.120 0.019
7.373 0.101 0.120 0.019
