in1 in2 in3 in4 in5 out
-0.150 0.500 0.000 0.000 0.750 -1.391
-0.150 0.500 0.000 0.000 1.000 -0.875
-0.150 0.500 0.000 0.000 1.250 -0.320
-0.150 0.500 0.000 1.500 0.500 3.804
-0.150 0.500 0.000 1.500 0.750 4.629
-0.150 0.500 0.000 1.500 1.000 5.522
-0.150 0.500 0.000 1.500 1.250 6.380
-0.150 0.500 1.500 -3.000 0.500 -8.457
-0.150 0.500 1.500 -3.000 0.750 -8.689
-0.150 0.500 1.500 -3.000 1.000 -8.925
-0.150 0.500 1.500 -3.000 1.250 -8.978
-0.150 0.500 1.500 -1.500 0.500 -2.789
-0.150 0.500 1.500 -1.500 0.750 -2.669
-0.150 0.500 1.500 -1.500 1.000 -2.528
-0.150 0.500 1.500 -1.500 1.250 -2.277
-0.150 0.500 1.500 0.000 0.500 2.879
-0.150 0.500 1.500 0.000 0.750 3.352
