in1 in2 in3 in4 out
0.900 -0.900 -0.200 -0.400 3.198
0.900 -0.900 -0.200 -0.240 2.393
0.900 -0.900 -0.200 -0.080 1.609
0.900 -0.900 -0.200 0.080 0.915
0.900 -0.900 -0.200 0.240 0.277
0.900 -0.900 -0.120 -0.400 2.401
0.900 -0.900 -0.120 -0.240 1.577
0.900 -0.900 -0.120 -0.080 0.757
0.900 -0.900 -0.120 0.080 -0.003
0.900 -0.900 -0.120 0.240 -0.685
0.900 -0.900 -0.040 -0.400 1.587
0.900 -0.900 -0.040 -0.240 0.733
0.900 -0.900 -0.040 -0.080 -0.114
0.900 -0.900 -0.040 0.080 -0.905
0.900 -0.900 -0.040 0.240 -1.636
0.900 -0.900 0.040 -0.400 0.743
0.900 -0.900 0.040 -0.240 -0.154
0.900 -0.900 0.040 -0.080 -1.013
0.900 -0.900 0.040 0.080 -1.790
0.900 -0.900 0.040 0.240 -2.572
0.900 -0.900 0.120 -0.400 -0.085
0.900 -0.900 0.120 -0.240 -1.011
0.900 -0.900 0.120 -0.080 -1.894
0.900 -0.900 0.120 0.080 -2.698
0.900 -0.900 0.120 0.240 -3.525
0.900 -0.300 -0.200 -0.400 4.430
0.900 -0.300 -0.200 -0.240 3.625
0.900 -0.300 -0.200 -0.080 2.838
0.900 -0.300 -0.200 0.080 2.158
0.900 -0.300 -0.200 0.240 1.565
0.900 -0.300 -0.120 -0.400 3.632
0.900 -0.300 -0.120 -0.240 2.807
0.900 -0.300 -0.120 -0.080 1.983
0.900 -0.300 -0.120 0.080 1.238
0.900 -0.300 -0.120 0.240 0.601
0.900 -0.300 -0.040 -0.400 2.816
0.900 -0.300 -0.040 -0.240 1.962
0.900 -0.300 -0.040 -0.080 1.111
0.900 -0.300 -0.040 0.080 0.333
0.900 -0.300 -0.040 0.240 -0.353
0.900 -0.300 0.040 -0.400 1.972
0.900 -0.300 0.040 -0.240 1.074
0.900 -0.300 0.040 -0.080 0.211
0.900 -0.300 0.040 0.080 -0.552
0.900 -0.300 0.040 0.240 -1.289
0.900 -0.300 0.120 -0.400 1.146
0.900 -0.300 0.120 -0.240 0.219
0.900 -0.300 0.120 -0.080 -0.667
0.900 -0.300 0.120 0.080 -1.457
0.900 -0.300 0.120 0.240 -2.239
0.900 0.300 -0.200 -0.400 5.686
0.900 0.300 -0.200 -0.240 4.872
0.900 0.300 -0.200 -0.080 4.059
0.900 0.300 -0.200 0.080 3.364
0.900 0.300 -0.200 0.240 2.838
0.900 0.300 -0.120 -0.400 4.884
0.900 0.300 -0.120 -0.240 4.051
0.900 0.300 -0.120 -0.080 3.200
0.900 0.300 -0.120 0.080 2.439
