input1 input2 output
8.995 15.911 3.743
8.995 16.442 10.041
9.723 0.000 -49.227
9.723 0.530 -48.769
9.723 1.061 -46.198
9.723 1.591 -39.587
9.723 2.122 -28.609
9.723 2.652 -17.103
9.723 3.182 -8.024
9.723 3.713 -2.849
9.723 4.243 -0.961
9.723 4.773 -0.263
9.723 5.304 -0.011
9.723 5.834 0.042
9.723 6.365 0.017
9.723 6.895 0.002
9.723 7.425 0.037
9.723 7.956 0.096
9.723 8.486 0.151
9.723 9.016 0.201
9.723 9.547 0.255
9.723 10.077 0.312
9.723 10.608 0.367
9.723 11.138 0.426
9.723 11.668 0.488
9.723 12.199 0.551
9.723 12.729 0.622
9.723 13.259 0.718
9.723 13.790 0.869
9.723 14.320 1.132
9.723 14.851 1.617
9.723 15.381 2.661
9.723 15.911 5.567
9.723 16.442 15.337
10.451 0.000 -45.490
10.451 0.530 -45.026
10.451 1.061 -42.650
10.451 1.591 -36.652
10.451 2.122 -26.803
10.451 2.652 -16.496
10.451 3.182 -8.081
10.451 3.713 -3.009
10.451 4.243 -1.098
10.451 4.773 -0.362
10.451 5.304 -0.070
10.451 5.834 0.013
10.451 6.365 0.006
10.451 6.895 -0.003
10.451 7.425 0.033
10.451 7.956 0.092
10.451 8.486 0.151
10.451 9.016 0.206
10.451 9.547 0.265
10.451 10.077 0.323
10.451 10.608 0.379
10.451 11.138 0.437
10.451 11.668 0.501
10.451 12.199 0.573
10.451 12.729 0.669
10.451 13.259 0.819
10.451 13.790 1.077
10.451 14.320 1.530
10.451 14.851 2.349
10.451 15.381 4.050
10.451 15.911 8.661
10.451 16.442 24.061
11.178 0.000 -33.703
11.178 0.530 -33.324
11.178 1.061 -31.544
11.178 1.591 -27.155
11.178 2.122 -20.092
11.178 2.652 -12.786
11.178 3.182 -6.608
11.178 3.713 -2.626
11.178 4.243 -1.060
11.178 4.773 -0.428
11.178 5.304 -0.153
11.178 5.834 -0.047
11.178 6.365 -0.021
11.178 6.895 -0.002
11.178 7.425 0.044
11.178 7.956 0.105
11.178 8.486 0.166
11.178 9.016 0.224
