in_n1 in_n2 out1
26.312 23.500 0.303
26.312 24.438 0.257
26.312 25.375 0.214
26.312 26.312 0.174
26.312 27.250 0.139
26.312 28.188 0.108
26.312 29.125 0.083
26.312 30.062 0.064
27.250 1.000 -0.155
27.250 1.938 -0.083
27.250 2.875 0.001
27.250 3.812 0.088
27.250 4.750 0.173
27.250 5.688 0.254
27.250 6.625 0.330
27.250 7.562 0.397
27.250 8.500 0.455
27.250 9.438 0.504
27.250 10.375 0.543
27.250 11.312 0.572
27.250 12.250 0.592
27.250 13.188 0.603
27.250 14.125 0.605
27.250 15.062 0.601
27.250 16.000 0.591
27.250 16.938 0.548
27.250 17.875 0.503
27.250 18.812 0.459
27.250 19.750 0.415
27.250 20.688 0.371
27.250 21.625 0.326
27.250 22.562 0.282
27.250 23.500 0.239
27.250 24.438 0.198
27.250 25.375 0.159
27.250 26.312 0.123
27.250 27.250 0.091
27.250 28.188 0.063
27.250 29.125 0.041
27.250 30.062 0.025
28.188 1.000 -0.212
28.188 1.938 -0.145
28.188 2.875 -0.069
28.188 3.812 0.010
28.188 4.750 0.088
28.188 5.688 0.162
28.188 6.625 0.230
28.188 7.562 0.290
28.188 8.500 0.343
28.188 9.438 0.388
28.188 10.375 0.423
28.188 11.312 0.450
28.188 12.250 0.468
28.188 13.188 0.478
28.188 14.125 0.481
28.188 15.062 0.478
28.188 16.000 0.471
28.188 16.938 0.434
28.188 17.875 0.395
28.188 18.812 0.357
28.188 19.750 0.318
28.188 20.688 0.280
28.188 21.625 0.241
28.188 22.562 0.202
28.188 23.500 0.164
28.188 24.438 0.128
28.188 25.375 0.094
28.188 26.312 0.062
28.188 27.250 0.034
28.188 28.188 0.011
28.188 29.125 -0.008
28.188 30.062 -0.021
29.125 1.000 -0.271
29.125 1.938 -0.210
29.125 2.875 -0.140
29.125 3.812 -0.068
29.125 4.750 0.001
29.125 5.688 0.067
29.125 6.625 0.128
29.125 7.562 0.182
29.125 8.500 0.229
29.125 9.438 0.267
29.125 10.375 0.298
29.125 11.312 0.322
29.125 12.250 0.337
29.125 13.188 0.346
29.125 14.125 0.348
29.125 15.062 0.345
29.125 16.000 0.337
29.125 16.938 0.307
29.125 17.875 0.274
29.125 18.812 0.242
29.125 19.750 0.210
29.125 20.688 0.178
29.125 21.625 0.145
29.125 22.562 0.112
29.125 23.500 0.080
29.125 24.438 0.049
29.125 25.375 0.020
29.125 26.312 -0.006
29.125 27.250 -0.029
29.125 28.188 -0.048
29.125 29.125 -0.062
29.125 30.062 -0.072
30.062 1.000 -0.330
30.062 1.938 -0.273
30.062 2.875 -0.209
30.062 3.812 -0.145
30.062 4.750 -0.083
30.062 5.688 -0.024
30.062 6.625 0.029
30.062 7.562 0.076
30.062 8.500 0.117
30.062 9.438 0.150
30.062 10.375 0.176
30.062 11.312 0.194
30.062 12.250 0.206
30.062 13.188 0.212
30.062 14.125 0.212
30.062 15.062 0.206
30.062 16.000 0.197
30.062 16.938 0.173
30.062 17.875 0.147
30.062 18.812 0.122
30.062 19.750 0.096
30.062 20.688 0.070
30.062 21.625 0.043
30.062 22.562 0.017
30.062 23.500 -0.009
30.062 24.438 -0.034
30.062 25.375 -0.058
30.062 26.312 -0.079
30.062 27.250 -0.097
30.062 28.188 -0.111
30.062 29.125 -0.121
30.062 30.062 -0.127
