X A B C
4.980 0.671 0.661 0.646
5.000 0.674 0.664 0.649
5.020 0.678 0.667 0.652
5.039 0.681 0.669 0.656
5.059 0.685 0.672 0.659
5.078 0.688 0.675 0.662
5.098 0.692 0.678 0.665
5.117 0.695 0.680 0.668
5.137 0.699 0.683 0.672
5.156 0.702 0.686 0.675
5.176 0.706 0.688 0.678
5.195 0.709 0.691 0.681
5.215 0.713 0.694 0.684
5.234 0.717 0.696 0.687
5.254 0.720 0.699 0.690
5.273 0.724 0.702 0.693
5.293 0.727 0.704 0.696
5.312 0.731 0.707 0.699
5.332 0.734 0.710 0.702
5.352 0.738 0.712 0.705
5.371 0.741 0.715 0.708
5.391 0.745 0.718 0.711
5.410 0.748 0.720 0.714
5.430 0.752 0.723 0.717
5.449 0.755 0.725 0.720
5.469 0.759 0.728 0.723
5.488 0.762 0.730 0.726
5.508 0.765 0.733 0.729
5.527 0.769 0.736 0.732
5.547 0.772 0.738 0.734
5.566 0.776 0.741 0.737
5.586 0.779 0.743 0.740
5.605 0.782 0.746 0.742
5.625 0.785 0.748 0.745
5.645 0.789 0.750 0.748
5.664 0.792 0.753 0.750
5.684 0.795 0.755 0.753
5.703 0.798 0.758 0.756
5.723 0.802 0.760 0.758
5.742 0.805 0.762 0.761
5.762 0.808 0.765 0.763
5.781 0.811 0.767 0.765
5.801 0.814 0.770 0.768
5.820 0.817 0.772 0.770
5.840 0.820 0.774 0.773
5.859 0.823 0.776 0.775
5.879 0.826 0.779 0.777
5.898 0.829 0.781 0.779
5.918 0.832 0.783 0.782
5.938 0.835 0.785 0.784
5.957 0.838 0.788 0.786
5.977 0.840 0.790 0.788
5.996 0.843 0.792 0.790
6.016 0.846 0.794 0.792
6.035 0.849 0.796 0.794
6.055 0.851 0.799 0.796
6.074 0.854 0.801 0.798
6.094 0.856 0.803 0.800
6.113 0.859 0.805 0.802
6.133 0.862 0.807 0.804
6.152 0.864 0.809 0.806
6.172 0.867 0.811 0.808
6.191 0.869 0.813 0.810
6.211 0.871 0.815 0.811
6.230 0.874 0.817 0.813
6.250 0.876 0.819 0.815
6.270 0.878 0.821 0.817
6.289 0.881 0.823 0.818
6.309 0.883 0.825 0.820
6.328 0.885 0.827 0.821
6.348 0.887 0.829 0.823
6.367 0.889 0.831 0.825
6.387 0.891 0.833 0.826
6.406 0.894 0.835 0.828
